Unnamed: 0,age_group,canton,cases,fatalities,sex,week,year
4792383,0 - 9,AG,0,0,1,9,2020
4792588,0 - 9,AI,0,0,1,9,2020
4792798,0 - 9,AR,0,0,1,9,2020
4793008,0 - 9,BE,0,0,1,9,2020
4793216,0 - 9,BL,0,0,1,9,2020
4793422,0 - 9,BS,0,0,1,9,2020
4793628,0 - 9,FL,0,0,1,9,2020
4793838,0 - 9,FR,0,0,1,9,2020
4794047,0 - 9,GE,0,0,1,9,2020
4794247,0 - 9,GL,0,0,1,9,2020
4835946,0 - 9,GR,2,0,1,9,2020
4794660,0 - 9,JU,0,0,1,9,2020
4794869,0 - 9,LU,0,0,1,9,2020
4795079,0 - 9,NE,0,0,1,9,2020
4795288,0 - 9,NW,0,0,1,9,2020
4795498,0 - 9,OW,0,0,1,9,2020
4795708,0 - 9,SG,0,0,1,9,2020
4795918,0 - 9,SH,0,0,1,9,2020
4796128,0 - 9,SO,0,0,1,9,2020
4796338,0 - 9,SZ,0,0,1,9,2020
4796548,0 - 9,TG,0,0,1,9,2020
4796758,0 - 9,TI,0,0,1,9,2020
4796963,0 - 9,UR,0,0,1,9,2020
4797173,0 - 9,VD,0,0,1,9,2020
4797382,0 - 9,VS,0,0,1,9,2020
4797590,0 - 9,ZG,0,0,1,9,2020
4797799,0 - 9,ZH,0,0,1,9,2020
4792404,10 - 19,AG,0,0,1,9,2020
4792609,10 - 19,AI,0,0,1,9,2020
4792819,10 - 19,AR,0,0,1,9,2020
4266139,10 - 19,BE,1,0,1,9,2020
4793237,10 - 19,BL,0,0,1,9,2020
4793443,10 - 19,BS,0,0,1,9,2020
4793649,10 - 19,FL,0,0,1,9,2020
4793859,10 - 19,FR,0,0,1,9,2020
4794068,10 - 19,GE,0,0,1,9,2020
4794268,10 - 19,GL,0,0,1,9,2020
4794477,10 - 19,GR,0,0,1,9,2020
4794681,10 - 19,JU,0,0,1,9,2020
4794890,10 - 19,LU,0,0,1,9,2020
4795100,10 - 19,NE,0,0,1,9,2020
4795309,10 - 19,NW,0,0,1,9,2020
4795519,10 - 19,OW,0,0,1,9,2020
4795729,10 - 19,SG,0,0,1,9,2020
4795939,10 - 19,SH,0,0,1,9,2020
4796149,10 - 19,SO,0,0,1,9,2020
4796359,10 - 19,SZ,0,0,1,9,2020
4796569,10 - 19,TG,0,0,1,9,2020
4796779,10 - 19,TI,0,0,1,9,2020
4796984,10 - 19,UR,0,0,1,9,2020
4797194,10 - 19,VD,0,0,1,9,2020
4797403,10 - 19,VS,0,0,1,9,2020
4797611,10 - 19,ZG,0,0,1,9,2020
4797820,10 - 19,ZH,0,0,1,9,2020
4419161,20 - 29,AG,1,0,1,9,2020
4792630,20 - 29,AI,0,0,1,9,2020
4792840,20 - 29,AR,0,0,1,9,2020
4793049,20 - 29,BE,0,0,1,9,2020
4550372,20 - 29,BL,2,0,1,9,2020
4793464,20 - 29,BS,0,0,1,9,2020
4793670,20 - 29,FL,0,0,1,9,2020
4793880,20 - 29,FR,0,0,1,9,2020
4346716,20 - 29,GE,2,0,1,9,2020
4794289,20 - 29,GL,0,0,1,9,2020
4794498,20 - 29,GR,0,0,1,9,2020
4794702,20 - 29,JU,0,0,1,9,2020
4794911,20 - 29,LU,0,0,1,9,2020
4357814,20 - 29,NE,1,0,1,9,2020
4795330,20 - 29,NW,0,0,1,9,2020
4795540,20 - 29,OW,0,0,1,9,2020
4795750,20 - 29,SG,0,0,1,9,2020
4795960,20 - 29,SH,0,0,1,9,2020
4796170,20 - 29,SO,0,0,1,9,2020
4796380,20 - 29,SZ,0,0,1,9,2020
4796590,20 - 29,TG,0,0,1,9,2020
4796800,20 - 29,TI,0,0,1,9,2020
4797005,20 - 29,UR,0,0,1,9,2020
4797215,20 - 29,VD,0,0,1,9,2020
4797424,20 - 29,VS,0,0,1,9,2020
4797632,20 - 29,ZG,0,0,1,9,2020
5257222,20 - 29,ZH,3,0,1,9,2020
4788384,30 - 39,AG,1,0,1,9,2020
4792651,30 - 39,AI,0,0,1,9,2020
4792861,30 - 39,AR,0,0,1,9,2020
4793069,30 - 39,BE,0,0,1,9,2020
4793277,30 - 39,BL,0,0,1,9,2020
4793483,30 - 39,BS,0,0,1,9,2020
4793691,30 - 39,FL,0,0,1,9,2020
5471652,30 - 39,FR,2,0,1,9,2020
4227824,30 - 39,GE,3,0,1,9,2020
4794310,30 - 39,GL,0,0,1,9,2020
4794519,30 - 39,GR,0,0,1,9,2020
4794723,30 - 39,JU,0,0,1,9,2020
4794932,30 - 39,LU,0,0,1,9,2020
4795141,30 - 39,NE,0,0,1,9,2020
4795351,30 - 39,NW,0,0,1,9,2020
4795561,30 - 39,OW,0,0,1,9,2020
4795771,30 - 39,SG,0,0,1,9,2020
4795981,30 - 39,SH,0,0,1,9,2020
4796191,30 - 39,SO,0,0,1,9,2020
4796401,30 - 39,SZ,0,0,1,9,2020
4796611,30 - 39,TG,0,0,1,9,2020
4796821,30 - 39,TI,0,0,1,9,2020
4797026,30 - 39,UR,0,0,1,9,2020
4797236,30 - 39,VD,0,0,1,9,2020
4793472,30 - 39,VS,1,0,1,9,2020
4262255,30 - 39,ZG,1,0,1,9,2020
4039505,30 - 39,ZH,3,0,1,9,2020
4792464,40 - 49,AG,0,0,1,9,2020
4792672,40 - 49,AI,0,0,1,9,2020
4792882,40 - 49,AR,0,0,1,9,2020
4793090,40 - 49,BE,0,0,1,9,2020
4793298,40 - 49,BL,0,0,1,9,2020
4793504,40 - 49,BS,0,0,1,9,2020
4793712,40 - 49,FL,0,0,1,9,2020
4793921,40 - 49,FR,0,0,1,9,2020
4424708,40 - 49,GE,1,0,1,9,2020
4794331,40 - 49,GL,0,0,1,9,2020
4421193,40 - 49,GR,3,0,1,9,2020
4794744,40 - 49,JU,0,0,1,9,2020
4794953,40 - 49,LU,0,0,1,9,2020
4795162,40 - 49,NE,0,0,1,9,2020
4795372,40 - 49,NW,0,0,1,9,2020
4795582,40 - 49,OW,0,0,1,9,2020
4795792,40 - 49,SG,0,0,1,9,2020
4796002,40 - 49,SH,0,0,1,9,2020
4796212,40 - 49,SO,0,0,1,9,2020
4796422,40 - 49,SZ,0,0,1,9,2020
4796632,40 - 49,TG,0,0,1,9,2020
4796842,40 - 49,TI,0,0,1,9,2020
4797047,40 - 49,UR,0,0,1,9,2020
4252140,40 - 49,VD,1,0,1,9,2020
4797465,40 - 49,VS,0,0,1,9,2020
4797673,40 - 49,ZG,0,0,1,9,2020
4797876,40 - 49,ZH,0,0,1,9,2020
4792485,50 - 59,AG,0,0,1,9,2020
4792693,50 - 59,AI,0,0,1,9,2020
4792903,50 - 59,AR,0,0,1,9,2020
4793111,50 - 59,BE,0,0,1,9,2020
4793318,50 - 59,BL,0,0,1,9,2020
4789915,50 - 59,BS,1,0,1,9,2020
4793733,50 - 59,FL,0,0,1,9,2020
4793942,50 - 59,FR,0,0,1,9,2020
4275112,50 - 59,GE,1,0,1,9,2020
4794352,50 - 59,GL,0,0,1,9,2020
4794557,50 - 59,GR,0,0,1,9,2020
4436724,50 - 59,JU,1,0,1,9,2020
4794974,50 - 59,LU,0,0,1,9,2020
4795183,50 - 59,NE,0,0,1,9,2020
