Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-03-06,10,0,1,20,9,17,7,16,0,13,1,2,8,0,0,1,0,1,7,1,37,0,23,4,5,24,207
2020-03-07,14,0,1,25,13,22,7,25,0,15,3,4,11,0,0,1,0,1,7,1,43,0,30,5,6,28,262
2020-03-08,14,0,1,31,19,25,8,38,0,17,3,6,13,0,0,3,0,1,7,1,58,0,40,5,7,34,331
2020-03-09,14,0,2,34,20,29,10,40,0,17,3,5,17,0,0,3,0,1,7,2,67,0,51,7,7,36,372
2020-03-10,15,0,2,39,22,39,12,53,0,18,4,6,27,0,0,7,0,1,7,3,91,0,77,15,7,45,490
2020-03-11,17,0,2,41,23,49,16,78,2,23,5,7,27,3,0,10,1,3,8,4,131,0,108,18,7,55,638
2020-03-12,22,0,2,51,29,80,26,76,2,28,7,8,33,4,0,14,1,7,9,5,170,0,156,23,7,91,851
2020-03-13,28,0,5,62,42,111,31,86,4,39,7,13,37,5,7,19,1,8,10,5,218,2,222,29,7,124,1122
2020-03-14,31,2,5,78,48,119,38,107,5,47,10,19,39,5,8,26,1,10,13,5,262,2,273,47,9,148,1357
2020-03-15,,,,,,,,294,,,,,,,,,,,13,,,,331,,,,2155
2020-03-16,52,,,131,,144,,382,,,,,74,10,,35,,,,17,330,,461,,,270,2327
2020-03-17,67,,,,,165,,,,,23,50,77,12,,47,,,,23,422,,695,95,,294,2650
2020-03-18,101,3,10,193,116,182,67,468,10,116,25,48,99,18,16,61,6,31,29,32,511,5,796,129,17,424,3513
2020-03-19,118,3,16,282,139,222,82,676,16,123,27,63,132,25,17,85,8,39,35,36,638,7,1001,232,23,526,5039
2020-03-20,168,3,18,,184,283,109,873,18,159,29,76,,25,17,98,12,46,39,49,816,7,1179,,27,773,5439

