Date,Affoltern,Andelfingen,Bülach,Dielsdorf,Dietikon,Hinwil,Horgen,Meilen,Pfäffikon,Uster,Winterthur,Total
2020-01-03,5212.5,2969.0,15733.5,9100.0,10478.5,11293.5,12281.0,9727.5,6186.5,13357.5,17357.5,45256.0
2020-01-10,5727.5,3248.0,17260.5,10011.0,11429.5,12118.5,13767.5,10829.0,6766.5,14666.5,18842.0,49709.0
2020-01-17,6444.5,3584.5,19194.5,11215.5,12553.5,13244.5,15587.5,12043.5,7519.5,16359.0,20781.0,55248.5
2020-01-24,7273.5,3981.5,21342.5,12581.5,13683.0,14466.5,17431.0,13147.5,8374.0,18214.0,23030.5,60957.0
2020-01-31,8039.5,4410.5,23212.5,13743.5,14820.5,15750.0,18904.5,14182.5,9186.5,19900.0,25284.5,65570.5
2020-02-07,8616.0,4706.5,24715.0,14632.5,15708.5,16825.5,20035.5,15003.0,9833.5,21236.5,26799.0,68991.5
2020-02-14,9044.0,4967.5,25741.0,15269.0,16314.0,17602.0,20809.0,15580.5,10294.0,22269.0,27956.0,71611.5
2020-02-21,9368.0,5196.0,26564.5,15767.5,16776.0,18204.5,21428.5,16080.5,10658.0,22988.0,29087.5,73817.5
2020-02-28,6563.333333333333,3691.6666666666665,18568.666666666668,10952.333333333334,11621.666666666666,12672.333333333334,14913.333333333334,11276.666666666666,7469.666666666667,16045.666666666666,20687.333333333332,51595.333333333336
2020-03-06,7018.0,3975.0,19847.666666666668,11572.0,12291.666666666666,13456.666666666666,15909.333333333334,12083.333333333334,7981.333333333333,17114.0,22415.333333333332,54952.666666666664
2020-03-13,7524.0,4236.333333333333,21259.0,12315.0,13097.0,14397.0,17038.666666666668,13074.333333333334,8538.666666666666,18425.333333333332,24087.0,58865.333333333336
2020-03-20,7939.666666666667,4467.0,22475.666666666668,12990.333333333334,13734.666666666666,15114.0,18013.666666666668,13939.0,9025.333333333334,19497.666666666668,25232.0,61990.0
2020-03-27,8168.666666666667,4611.333333333333,23133.333333333332,13357.666666666666,14057.0,15514.666666666666,18525.333333333332,14360.0,9266.0,20049.666666666668,25851.666666666668,63737.0
2020-04-03,8303.0,4697.333333333333,23577.0,13560.333333333334,14263.666666666666,15787.0,18849.0,14636.0,9421.0,20429.666666666668,26263.333333333332,64928.333333333336
2020-04-10,8417.333333333334,4752.333333333333,23938.0,13758.666666666666,14448.333333333334,16006.0,19132.333333333332,14868.0,9558.333333333334,20751.0,26611.0,65982.0
2020-04-17,8497.0,4799.666666666667,24201.666666666668,13889.333333333334,14587.0,16158.0,19349.666666666668,15065.0,9668.0,20976.0,26909.333333333332,66736.33333333333
2020-04-24,8560.333333333334,4826.0,24424.666666666668,13982.666666666666,14692.333333333334,16273.333333333334,19498.333333333332,15229.666666666666,9745.333333333334,21145.333333333332,27129.333333333332,67338.66666666667
2020-05-01,8600.333333333334,4850.333333333333,24581.666666666668,14063.666666666666,14774.0,16359.333333333334,19622.333333333332,15337.333333333334,9800.333333333334,21280.666666666668,27294.333333333332,67806.33333333333
2020-05-08,8646.666666666666,4866.666666666667,24699.0,14127.0,14841.666666666666,16426.666666666668,19721.666666666668,15428.666666666666,9834.333333333334,21378.666666666668,27444.333333333332,68178.33333333333
2020-05-15,8686.0,4884.0,24781.333333333332,14178.0,14887.0,16490.0,19784.666666666668,15502.0,9865.666666666666,21455.333333333332,27559.666666666668,68475.0
2020-05-22,8707.333333333334,4896.666666666667,24842.666666666668,14214.666666666666,14925.666666666666,16533.333333333332,19845.0,15555.666666666666,9890.0,21521.0,27649.333333333332,68701.0
2020-05-29,8728.666666666666,4910.0,24933.333333333332,14261.666666666666,14974.666666666666,16583.333333333332,19915.333333333332,15632.0,9917.0,21610.333333333332,27742.0,69024.0
2020-06-05,8777.0,4931.0,25041.0,14332.666666666666,15042.666666666666,16644.666666666668,20020.666666666668,15739.333333333334,9953.333333333334,21726.0,27862.0,69448.66666666667
2020-06-12,8839.0,4956.0,25202.0,14415.666666666666,15119.666666666666,16724.0,20165.333333333332,15873.666666666666,10011.0,21876.666666666668,28019.666666666668,70075.0
2020-06-19,8912.333333333334,4991.666666666667,25423.666666666668,14536.666666666666,15238.333333333334,16836.666666666668,20364.0,16069.666666666666,10096.0,22084.0,28261.0,70872.0
2020-06-26,1760.0,977.5,5841.5,3363.5,4035.0,3959.5,4476.0,3489.0,2208.5,5084.0,6037.0,16515.5
2020-07-03,1766.5,979.5,5867.0,3379.0,4064.5,3983.5,4500.5,3516.5,2215.5,5115.5,6061.0,16594.5
2020-07-10,1780.5,984.0,5933.0,3399.0,4099.5,4020.5,4540.0,3555.5,2227.0,5147.5,6111.0,16765.5
2020-07-17,1797.0,992.5,5983.0,3447.0,4138.0,4075.5,4583.5,3590.5,2250.0,5201.0,6154.5,16961.5
2020-07-24,1812.5,1003.0,6047.5,3478.5,4173.5,4112.5,4625.5,3621.0,2265.0,5251.5,6204.5,17106.5
2020-07-31,1826.5,1016.5,6113.0,3516.5,4221.5,4153.0,4670.0,3657.5,2293.0,5308.5,6290.5,17266.0
2020-08-07,1853.0,1038.0,6260.0,3609.5,4331.0,4242.5,4761.5,3699.5,2351.5,5412.0,6460.5,17538.0
2020-08-14,1897.5,1052.0,6464.5,3766.5,4479.0,4385.5,4874.5,3773.0,2425.0,5577.0,6729.0,17924.5
2020-08-21,1957.5,1071.5,6691.0,3904.5,4669.0,4512.0,5000.5,3862.0,2492.5,5746.5,6988.0,18376.5
2020-08-28,2023.5,1091.0,6889.5,4058.5,4827.0,4687.5,5116.5,3982.5,2556.0,5913.0,7264.0,18855.0
2020-09-04,2097.5,1113.0,7131.5,4207.5,4999.5,4868.5,5221.5,4078.5,2632.0,6114.0,7545.5,19440.0
2020-09-11,2165.5,1128.5,7281.0,4329.0,5114.0,4989.5,5311.0,4142.5,2696.5,6228.5,7774.0,19843.5
2020-09-18,2196.5,1145.0,7405.0,4410.5,5186.5,5078.5,5374.5,4191.5,2744.0,6313.0,7917.0,20119.0
2020-09-25,2222.0,1164.0,7491.5,4464.5,5238.0,5142.5,5446.5,4234.0,2781.5,6388.5,8034.5,20401.5
2020-10-02,2252.5,1175.5,7583.5,4511.0,5302.5,5204.0,5518.0,4283.0,2816.5,6464.5,8128.5,20726.0
2020-10-09,2279.0,1197.5,7686.5,4548.5,5366.5,5274.0,5601.0,4347.5,2855.0,6539.0,8218.0,21105.5
2020-10-16,2350.5,1242.5,7864.5,4628.0,5473.5,5412.0,5792.5,4450.0,2932.5,6679.0,8394.0,21784.0
2020-10-23,2446.5,1315.0,8181.0,4795.5,5704.0,5590.0,6044.0,4662.0,3047.5,6914.0,8713.5,22854.0
2020-10-30,2618.0,1418.5,8620.5,5037.5,6017.0,5888.5,6428.5,4944.0,3191.0,7292.5,9120.5,24288.5
2020-11-06,2819.0,1536.0,9148.0,5358.0,6329.5,6219.0,6856.5,5210.0,3371.0,7685.5,9709.0,25668.0
2020-11-13,2987.0,1661.5,9689.0,5676.5,6636.5,6616.5,7322.0,5468.0,3578.5,8047.5,10393.0,27121.5
2020-11-20,3267.5,1806.5,10311.5,6045.0,7013.0,7191.0,7862.0,5850.5,3885.5,8531.5,11218.5,28781.5
2020-11-27,3557.0,1978.0,10979.0,6442.0,7448.5,7752.5,8437.5,6266.5,4204.5,9006.0,12007.5,30546.0
2020-12-04,3837.5,2149.0,11750.5,6884.0,7871.0,8409.0,9031.0,6788.0,4593.0,9598.0,12963.5,32572.0
2020-12-11,4072.5,2303.5,12484.5,7266.5,8343.0,8983.5,9593.0,7262.0,4923.5,10278.5,13870.5,34610.5
2020-12-18,4345.0,2439.0,13170.0,7642.5,8818.5,9578.5,10175.0,7792.5,5224.0,10958.5,14736.5,37123.5
2020-12-25,4693.5,2635.0,14080.5,8120.5,9387.5,10232.0,10917.5,8440.5,5600.0,11861.0,15751.0,40007.5
2021-01-01,2208.0,1239.0,6799.0,3933.0,5042.0,4704.0,5503.0,4047.0,2482.0,5924.0,7205.0,21282.0
