Date,Affoltern,Andelfingen,Bülach,Dielsdorf,Dietikon,Hinwil,Horgen,Meilen,Pfäffikon,Uster,Winterthur,Total
2020-01-03,48.5,25.5,116.0,52.5,81.0,97.0,118.0,77.5,49.5,104.0,126.0,430.5
2020-01-10,49.5,25.5,120.0,52.5,83.5,99.0,121.5,79.5,51.5,109.0,127.5,444.0
2020-01-17,51.0,26.0,122.5,53.5,86.5,100.5,124.5,84.5,52.5,115.0,127.5,453.0
2020-01-24,51.5,26.0,125.5,54.0,86.5,102.0,126.0,86.5,54.0,119.5,128.5,458.0
2020-01-31,51.5,26.0,128.5,56.0,88.0,103.0,129.5,90.0,56.0,121.5,129.5,463.0
2020-02-07,52.5,26.5,130.5,57.5,88.5,104.0,131.0,91.5,56.0,123.5,131.5,467.0
2020-02-14,52.5,26.5,131.0,58.0,90.0,104.0,132.0,92.5,57.5,125.5,132.5,471.0
2020-02-21,53.0,26.5,132.5,58.5,90.5,104.5,133.5,93.0,58.0,127.5,133.5,472.0
2020-02-28,36.333333333333336,17.666666666666668,89.33333333333333,39.333333333333336,60.666666666666664,69.66666666666667,89.33333333333333,62.333333333333336,38.666666666666664,85.33333333333333,89.66666666666667,317.3333333333333
2020-03-06,37.0,18.0,89.66666666666667,39.333333333333336,61.0,70.33333333333333,89.33333333333333,63.0,39.0,86.33333333333333,89.66666666666667,319.6666666666667
2020-03-13,38.0,18.0,90.33333333333333,41.0,61.666666666666664,70.66666666666667,90.0,64.66666666666667,39.333333333333336,86.33333333333333,90.0,323.0
2020-03-20,28.0,13.0,57.0,27.0,40.0,47.0,59.0,39.5,24.0,55.0,56.0,216.5
2020-03-27,28.0,13.5,57.5,27.0,40.5,47.5,62.0,41.0,24.0,57.0,57.0,222.0
2020-04-03,29.0,14.0,58.5,27.5,41.0,48.0,64.0,42.5,26.0,58.5,58.5,229.0
2020-04-10,30.0,14.5,61.0,27.5,42.5,48.0,65.5,43.0,26.0,59.5,60.0,237.0
2020-04-17,30.0,15.0,61.0,29.0,43.5,48.0,67.0,43.5,28.0,59.5,61.5,246.5
2020-04-24,30.0,15.0,61.0,29.0,44.0,49.0,67.5,43.5,28.5,60.5,62.0,251.5
2020-05-01,30.0,15.0,62.0,29.0,44.5,49.0,68.0,43.5,28.5,62.0,62.0,256.5
2020-05-08,30.0,15.0,62.0,29.0,45.5,49.5,68.0,44.0,28.5,62.5,62.0,258.5
2020-05-15,30.0,15.0,62.0,29.0,45.5,49.5,68.0,44.0,28.5,63.0,62.0,259.5
2020-05-22,30.0,15.0,62.5,29.0,46.5,49.5,68.0,45.0,28.5,63.5,62.5,259.5
