Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-05-31,,,,8.0,0.0,2.0,2.0,2.0,,1.0,2.0,,2.0,1.0,0.0,,,,,0.0,29.0,0.0,21.0,11.0,0.0,8.0,117.0,,,,,,,,,,,7.729640368819791e-06,,,0.0,,,1.0268732735693088e-05,,,6.275218534485462e-06,,,4.038372616602961e-06,,,,,,5.040856139006649e-06,,,2.7240904942862206e-05,,,,,,1.1238227956215864e-05,,,2.3135830460634384e-05,,,0.0,,,,,,,,,,,,,,,0.0,,,8.207322629852579e-05,,,0.0,,,2.6278084703026356e-05,,,3.1980927737640104e-05,,,0.0,,,5.259808227392029e-06,,,1.369797258298103e-05,
2020-06-01,,,,8.0,0.0,2.0,2.0,2.0,,1.0,2.0,,2.0,1.0,0.0,,,,,0.0,27.0,0.0,20.0,13.0,0.0,8.0,116.0,,,,,,,,,,0.0,7.729640368819791e-06,0.0,0.0,0.0,0.0,0.0,1.0268732735693088e-05,0.0,0.0,6.275218534485462e-06,0.0,0.0,4.038372616602961e-06,0.0,,,,0.0,5.040856139006649e-06,0.0,0.0,2.7240904942862206e-05,0.0,,,,0.0,1.1238227956215864e-05,0.0,0.0,2.3135830460634384e-05,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,-2.0,7.641300379517919e-05,-5.660222503346606e-06,0.0,0.0,0.0,-1.0,2.502674733621558e-05,-1.251337366810779e-06,2.0,3.7795641871756484e-05,5.814714134116382e-06,0.0,0.0,0.0,0.0,5.259808227392029e-06,0.0,-1.0,1.3580895894237604e-05,-1.170766887434276e-07
2020-06-02,3.0,,1.0,6.0,0.0,3.0,2.0,6.0,0.0,1.0,1.0,,2.0,0.0,0.0,,8.0,,,0.0,25.0,0.0,24.0,13.0,0.0,10.0,126.0,,4.423428245358718e-06,,,,,,1.8104790527573596e-05,,-2.0,5.797230276614843e-06,-1.9324100922049478e-06,0.0,0.0,0.0,1.0,1.5403099103539633e-05,5.134366367846544e-06,0.0,6.275218534485462e-06,0.0,4.0,1.2115117849808884e-05,8.076745233205922e-06,,0.0,,0.0,5.040856139006649e-06,0.0,-1.0,1.3620452471431101e-05,-1.3620452471431101e-05,,,,0.0,1.1238227956215864e-05,0.0,-1.0,0.0,-2.3135830460634384e-05,0.0,0.0,0.0,,,,,9.75716846971009e-05,,,,,,,,0.0,0.0,0.0,-2.0,7.075278129183258e-05,-5.660222503346606e-06,0.0,0.0,0.0,4.0,3.0032096803458695e-05,5.005349467243116e-06,0.0,3.7795641871756484e-05,0.0,0.0,0.0,0.0,2.0,6.574760284240037e-06,1.3149520568480073e-06,10.0,1.4751662781671876e-05,1.170766887434276e-06
2020-06-03,1.0,,1.0,6.0,0.0,3.0,2.0,5.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,6.0,3.0,,,0.0,19.0,,24.0,12.0,0.0,4.0,101.0,-2.0,1.4744760817862393e-06,-2.9489521635724785e-06,,,,0.0,1.8104790527573596e-05,0.0,0.0,5.797230276614843e-06,0.0,0.0,0.0,0.0,0.0,1.5403099103539633e-05,0.0,0.0,6.275218534485462e-06,0.0,-1.0,1.0095931541507403e-05,-2.0191863083014806e-06,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,1.3620452471431101e-05,0.0,,7.3249877306455496e-06,,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.1818072590541208e-05,,-5.0,3.658938176141284e-05,-6.098230293568806e-05,,,,,,,0.0,0.0,0.0,-6.0,5.3772113781792764e-05,-1.698066751003982e-05,,0.0,,0.0,3.0032096803458695e-05,0.0,-1.0,3.4888284804698294e-05,-2.907357067058191e-06,0.0,0.0,0.0,-6.0,2.629904113696014e-06,-3.944856170544022e-06,-25.0,1.1824745563086189e-05,-2.92691721858569e-06
2020-06-04,1.0,,1.0,6.0,0.0,3.0,2.0,8.0,0.0,1.0,1.0,8.0,2.0,0.0,0.0,,3.0,,,0.0,17.0,,24.0,13.0,0.0,4.0,103.0,0.0,1.4744760817862397e-06,0.0,,,,0.0,1.8104790527573596e-05,0.0,0.0,5.797230276614843e-06,0.0,0.0,0.0,0.0,0.0,1.5403099103539633e-05,0.0,0.0,6.275218534485462e-06,0.0,3.0,1.6153490466411845e-05,6.057558924904442e-06,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,1.3620452471431101e-05,0.0,0.0,7.3249877306455496e-06,0.0,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.1818072590541208e-05,,0.0,3.658938176141284e-05,0.0,,,,,,,0.0,0.0,0.0,-2.0,4.8111891278446155e-05,-5.660222503346606e-06,,0.0,,0.0,3.0032096803458695e-05,0.0,1.0,3.7795641871756484e-05,2.907357067058191e-06,0.0,0.0,0.0,0.0,2.629904113696014e-06,0.0,2.0,1.2058898940573042e-05,2.341533774868552e-07
2020-06-05,1.0,,1.0,5.0,0.0,2.0,3.0,6.0,0.0,1.0,1.0,8.0,2.0,0.0,0.0,,4.0,,,0.0,16.0,,25.0,13.0,0.0,6.0,103.0,0.0,1.4744760817862393e-06,0.0,,,,0.0,1.8104790527573596e-05,0.0,-1.0,4.831025230512369e-06,-9.662050461024737e-07,0.0,0.0,0.0,-1.0,1.0268732735693088e-05,-5.134366367846544e-06,1.0,9.412827801728194e-06,3.1376092672427318e-06,-2.0,1.2115117849808884e-05,-4.038372616602961e-06,0.0,0.0,0.0,0.0,5.040856139006649e-06,0.0,0.0,1.3620452471431101e-05,0.0,0.0,7.3249877306455496e-06,0.0,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.1818072590541208e-05,,1.0,4.878584234855045e-05,1.2196460587137613e-05,,,,,,,0.0,0.0,0.0,-1.0,4.528178002677285e-05,-2.830111251673303e-06,,0.0,,1.0,3.128343417026948e-05,1.251337366810779e-06,0.0,3.7795641871756484e-05,0.0,0.0,0.0,0.0,2.0,3.944856170544022e-06,1.3149520568480075e-06,0.0,1.2058898940573044e-05,0.0
2020-06-06,,,,5.0,0.0,1.0,3.0,3.0,,1.0,1.0,,1.0,0.0,0.0,,,,,0.0,14.0,,21.0,13.0,0.0,5.0,90.0,,1.4744760817862393e-06,,,,,,1.8104790527573596e-05,,0.0,4.831025230512369e-06,0.0,0.0,0.0,0.0,-1.0,5.134366367846544e-06,-5.134366367846544e-06,0.0,9.412827801728194e-06,0.0,-4.0,4.038372616602962e-06,-8.076745233205922e-06,,0.0,,0.0,5.040856139006649e-06,0.0,0.0,1.3620452471431101e-05,0.0,,7.3249877306455496e-06,,-1.0,5.619113978107932e-06,-5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,,1.1818072590541208e-05,,,4.878584234855045e-05,,,,,,,,0.0,0.0,0.0,-2.0,3.962155752342624e-05,-5.660222503346606e-06,,0.0,,-4.0,2.627808470302636e-05,-5.005349467243116e-06,0.0,3.7795641871756484e-05,0.0,0.0,0.0,0.0,-1.0,3.2873801421200185e-06,-6.574760284240036e-07,-13.0,1.0536901986908485e-05,-1.521996953664559e-06
2020-06-07,,,,5.0,0.0,1.0,3.0,3.0,,0.0,1.0,,1.0,0.0,0.0,,,,,0.0,12.0,,21.0,13.0,0.0,5.0,87.0,,1.4744760817862393e-06,,,,,,1.8104790527573596e-05,,0.0,4.831025230512369e-06,0.0,0.0,0.0,0.0,0.0,5.134366367846544e-06,0.0,0.0,9.412827801728194e-06,0.0,0.0,4.038372616602962e-06,0.0,,0.0,,-1.0,0.0,-5.040856139006649e-06,0.0,1.3620452471431101e-05,0.0,,7.3249877306455496e-06,,0.0,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.1818072590541208e-05,,,4.878584234855045e-05,,,,,,,,0.0,0.0,0.0,-2.0,3.396133502007964e-05,-5.660222503346606e-06,,0.0,,0.0,2.627808470302636e-05,0.0,0.0,3.7795641871756484e-05,0.0,0.0,0.0,0.0,0.0,3.2873801421200185e-06,0.0,-3.0,1.0185671920678204e-05,-3.512300662302828e-07
2020-06-08,3.0,,0.0,3.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,7.0,4.0,,,0.0,11.0,,23.0,13.0,0.0,7.0,96.0,2.0,4.423428245358718e-06,2.9489521635724785e-06,,,,-1.0,0.0,-1.8104790527573596e-05,-2.0,2.8986151383074214e-06,-1.9324100922049473e-06,0.0,0.0,0.0,0.0,5.134366367846544e-06,0.0,0.0,9.412827801728194e-06,0.0,5.0,1.4134304158110364e-05,1.0095931541507403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,0.0,7.324987730645551e-06,0.0,1.0,1.1238227956215864e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.378775135563141e-05,1.9696787650902013e-06,0.0,4.878584234855045e-05,0.0,,,,,,,0.0,0.0,0.0,-1.0,3.1131223768406335e-05,-2.830111251673303e-06,,0.0,,2.0,2.8780759436647915e-05,2.502674733621558e-06,0.0,3.7795641871756484e-05,0.0,0.0,0.0,0.0,2.0,4.602332198968026e-06,1.3149520568480073e-06,9.0,1.123936211936905e-05,1.0536901986908485e-06
2020-06-09,2.0,,,3.0,0.0,1.0,3.0,9.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,,6.0,,,0.0,11.0,,22.0,13.0,0.0,6.0,97.0,-1.0,2.948952163572479e-06,-1.4744760817862393e-06,,,,,0.0,,0.0,2.8986151383074214e-06,0.0,0.0,0.0,0.0,0.0,5.134366367846544e-06,0.0,0.0,9.412827801728195e-06,0.0,2.0,1.8172676774713326e-05,4.038372616602961e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,0.0,7.324987730645551e-06,0.0,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.378775135563141e-05,,2.0,7.317876352282566e-05,2.4392921174275225e-05,,,,,,,0.0,0.0,0.0,0.0,3.1131223768406335e-05,0.0,,0.0,,-1.0,2.752942206983714e-05,-1.251337366810779e-06,0.0,3.7795641871756484e-05,0.0,0.0,0.0,0.0,-1.0,3.944856170544022e-06,-6.574760284240036e-07,1.0,1.1356438808112479e-05,1.1707668874342761e-07
