Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,375.0,,,,,,,,,,,,,,,,,,,375.0
2020-02-26,,,,,,,,479.0,,,,,,,,,,,,,,,,,,,479.0
2020-02-27,,,,,,,,630.0,,,,,,,,,,,,,,,,,,,630.0
2020-02-28,,,,,,,,840.0,,,,,,,,,,,,,,,,,,,840.0
2020-02-29,,,,,,,,981.0,,,,,,,,,,,,,,,,,,,981.0
2020-03-01,,,,,,,30.0,1083.0,,,,,,,,,,,,,,,,,,,1113.0
2020-03-02,,,,,,235.0,,1171.0,,,,,,,,,,,,,,,,,,,1436.0
2020-03-03,,,,,,,,1278.0,,,,,,,,,,,1.0,,,,,,,,1544.0
2020-03-04,,,,,,,,1384.0,,,,,,,,,,,3.0,,,,,,,,1652.0
2020-03-05,,,,,,,,1447.0,,,,,,,,,,,,,,,,,,,1715.0
2020-03-06,,,,,,,,1538.0,,,,,,,,,,,6.0,,,,,,,,1809.0
2020-03-07,,,,,,,,1614.0,,,,,,,,,,,,,,,,,,,1885.0
2020-03-08,,,,,,,,1681.0,,,,,,,,,,,,,,,,,,,1952.0
2020-03-09,,,,,,,,1780.0,,,,,,,,,,,,,,,,,,,2051.0
2020-03-10,,,,,,,,1955.0,,,,,,,,,,,,,,,,,,,2226.0
2020-03-11,,,,,,,,2201.0,,,,,,,,,,,,,,,,,,,2472.0
2020-03-12,,,,,,,,2574.0,,,,,,,,,,,,,,,,,,,2845.0
2020-03-13,,,,,,,,3010.0,,,,,,,6.0,,,,10.0,,,,,,,,3291.0
2020-03-14,,,,,,,,3627.0,,,,,,,,,,,,,,,,,,,3908.0
2020-03-15,,,,,,,,3978.0,,,,,,,,,,,,,,,,,,,4259.0
2020-03-16,,,,,,,,4485.0,,,,,,,,,,,,246.0,,,,,,,5012.0
2020-03-17,,,,,,,,5174.0,,,,,,,,,,,,276.0,,,,,,,5731.0
2020-03-18,,,,,,,,6002.0,,,,,,,,,,,,,,85.0,,,,,6644.0
2020-03-19,,,,,,,,6681.0,,,,,,,,,,,,,,,,,,,7323.0
2020-03-20,,,,,,,,7205.0,,,,,,,,,,,,,,,,,,,7847.0
2020-03-21,,,,,,,,7607.0,,,,,,,,,,,,,,,,,,,8249.0
2020-03-22,,,,,,,,7807.0,,,,,,,,,,,,,,,,,,,8449.0
2020-03-23,,,,,,,,8213.0,,,,,,,,,,,,,,,,,,,8855.0
