Canton,Date,Time
AG,2021-08-05,08:00
AI,2021-08-05,12:00
AR,2021-08-05,00:00
BE,2021-08-05,00:00
BL,2021-08-06,00:00
BS,2021-08-08,10:30
FR,2021-08-02,00:00
GE,2021-08-08,00:00
GL,2021-08-06,00:00
GR,2021-08-08,00:00
JU,2021-08-07,00:00
LU,2021-08-06,00:00
NE,2021-08-04,00:00
NW,2021-08-08,00:00
OW,2021-08-05,00:00
SG,2021-08-05,00:00
SH,2021-08-05,00:00
SO,2021-08-06,00:00
SZ,2021-08-08,09:00
TG,2021-08-06,10:00
TI,2021-08-06,00:00
UR,2021-08-06,00:00
VD,2021-08-01,00:00
VS,2021-08-05,00:00
ZG,2021-08-06,08:00
ZH,2021-08-06,14:30
